Dates,Mean
2020-02-02,124.7365714
2020-02-03,142.2711429
2020-02-04,189.2668571
2020-02-05,148.9771429
2020-02-06,124.9591429
2020-02-07,151.0585714
2020-02-08,151.6877143
2020-02-09,156.1244118
2020-02-10,173.4334286
2020-02-11,177.4228571
2020-02-12,170.0411429
2020-02-13,95.10657143
2020-02-14,75.63
2020-02-15,86.72542857
2020-02-16,137.5145714
2020-02-17,161.552
2020-02-18,129.2705714
2020-02-19,134.6971429
2020-02-20,100.082
2020-02-21,52.31685714
2020-02-22,68.81714286
2020-02-23,102.3268571
2020-02-24,73.86542857
2020-02-25,130.68
2020-02-26,144.6285714
2020-02-27,106.2717143
2020-02-28,82.13171429
2020-02-29,59.20028571
2020-03-01,47.01571429
2020-03-02,100.5462857
2020-03-03,86.25
2020-03-04,81.788
2020-03-05,32.494
2020-03-06,22.30371429
2020-03-07,44.95764706
2020-03-08,72.11264706
2020-03-09,63.11657143
2020-03-10,84.02057143
2020-03-11,55.564
2020-03-12,59.56485714
2020-03-13,67.12628571
2020-03-14,40.42885714
2020-03-15,63.05088235
2020-03-16,63.70771429
2020-03-17,72.20235294
2020-03-18,69.06857143
2020-03-19,92.31514286
2020-03-20,92.32028571
2020-03-21,84.24257143
2020-03-22,75.54942857
2020-03-23,55.00352941
2020-03-24,55.49352941
2020-03-25,38.64588235
2020-03-26,44.82181818
2020-03-27,25.84735294
2020-03-28,22.046875
2020-03-29,27.1271875
2020-03-30,35.4021875
2020-03-31,34.31818182
2020-04-01,32.290625
2020-04-02,27.563
2020-04-03,32.31766667
2020-04-04,40.42266667
2020-04-05,52.189
2020-04-06,57.814
2020-04-07,30.4369697
2020-04-08,29.10625
2020-04-09,36.24090909
2020-04-10,57.20666667
2020-04-11,50.6530303
2020-04-12,40.08454545
2020-04-13,60.919375
2020-04-14,58.19454545
2020-04-15,60.66
2020-04-16,68.531875
2020-04-17,27.2103125
2020-04-18,29.71666667
2020-04-19,42.8830303
2020-04-20,52.08057143
2020-04-21,41.365
2020-04-22,59.13028571
2020-04-23,55.326
2020-04-24,67.45857143
2020-04-25,35.36457143
2020-04-26,40.57117647
2020-04-27,33.045
2020-04-28,43.3190625
2020-04-29,53.4371875
2020-04-30,50.41685714
2020-05-01,60.38558824
2020-05-02,35.35454545
2020-05-03,32.763125
2020-05-04,30.5059375
2020-05-05,56.44633333
2020-05-06,58.8609375
2020-05-07,38.60606061
2020-05-08,52.55515152
2020-05-09,53.37903226
2020-05-10,43.69586207
2020-05-11,48.4730303
2020-05-12,43.58
2020-05-13,68.34
2020-05-14,55.15363636
2020-05-15,52.66558824
2020-05-16,79.75911765
2020-05-17,96.00424242
2020-05-18,97.46852941
2020-05-19,106.9282353
2020-05-20,66.42941176
2020-05-21,56.56647059
2020-05-22,95.84764706
2020-05-23,71.02
2020-05-24,55.70588235
2020-05-25,61.88029412
2020-05-26,53.64457143
2020-05-27,42.12885714
2020-05-28,38.83457143
2020-05-29,25.168
2020-05-30,24.01914286
2020-05-31,21.96117647
2020-06-01,43.92685714
2020-06-02,44.72228571
2020-06-03,51.25971429
2020-06-04,69.06171429
2020-06-05,43.36314286
2020-06-06,35.62228571
2020-06-07,40.30171429
2020-06-08,48.758
2020-06-09,64.72942857
2020-06-10,58.86
2020-06-11,57.25147059
2020-06-12,63.75742857
2020-06-13,52.67617647
2020-06-14,69.74676471
2020-06-15,48.55088235
2020-06-16,39.31428571
2020-06-17,33.66857143
2020-06-18,37.63114286
2020-06-19,57.04942857
2020-06-20,35.26628571
2020-06-21,40.25088235
2020-06-22,41.12857143
2020-06-23,28.23914286
2020-06-24,31.44371429
2020-06-25,39.126
2020-06-26,50.50457143
2020-06-27,40.75117647
2020-06-28,60.19060606
2020-06-29,42.61911765
2020-06-30,41.02382353
2020-07-01,51.64470588
2020-07-02,62.88882353
2020-07-03,63.44914286
2020-07-04,45.83257143
2020-07-05,32.66771429
2020-07-06,46.55571429
2020-07-07,20.81114286
2020-07-08,26.97571429
2020-07-09,36.34771429
2020-07-10,26.33885714
2020-07-11,21.868
2020-07-12,21.98117647
2020-07-13,32.62857143
2020-07-14,41.61882353
2020-07-15,39.655
2020-07-16,31.28823529
2020-07-17,43.87714286
2020-07-18,38.98470588
2020-07-19,25.28181818
2020-07-20,20.685
2020-07-21,23.16058824
2020-07-22,22.50735294
2020-07-23,34.09735294
2020-07-24,43.29647059
2020-07-25,30.34588235
2020-07-26,41.40121212
2020-07-27,34.76735294
2020-07-28,24.26588235
2020-07-29,24.65911765
2020-07-30,18.83029412
2020-07-31,39.31058824
2020-08-01,32.25735294
2020-08-02,22.53705882
2020-08-03,24.04352941
2020-08-04,24.48029412
2020-08-05,38.96235294
2020-08-06,17.86705882
2020-08-07,24.14735294
2020-08-08,47.43941176
2020-08-09,31.07264706
2020-08-10,31.98757576
2020-08-11,40.69636364
2020-08-12,23.18969697
2020-08-13,16.39878788
2020-08-14,21.51848485
2020-08-15,30.56354839
2020-08-16,22.11333333
2020-08-17,28.75470588
2020-08-18,28.50515152
2020-08-19,22.66142857
2020-08-20,20.82771429
2020-08-21,19.81441176
2020-08-22,15.08294118
2020-08-23,16.4128125
2020-08-24,15.03088235
2020-08-25,17.49228571
2020-08-26,16.02257143
2020-08-27,19.42542857
2020-08-28,30.02828571
2020-08-29,36.33685714
2020-08-30,19.07969697
2020-08-31,11.71029412
2020-09-01,16.37294118
2020-09-02,22.12969697
2020-09-03,33.66542857
2020-09-04,36.78114286
2020-09-05,35.00393939
2020-09-06,28.30529412
2020-09-07,52.11941176
2020-09-08,31.74529412
2020-09-09,48.15914286
2020-09-10,48.49628571
2020-09-11,55.16628571
2020-09-12,60.15588235
2020-09-13,67.03714286
2020-09-14,68.61428571
2020-09-15,62.98228571
2020-09-16,62.56457143
2020-09-17,45.49914286
2020-09-18,38.78485714
2020-09-19,52.618
2020-09-20,65.41114286
2020-09-21,58.69657143
2020-09-22,38.498
2020-09-23,25.28628571
2020-09-24,39.51228571
2020-09-25,54.052
2020-09-26,58.21657143
2020-09-27,36.42028571
2020-09-28,61.29228571
2020-09-29,66.36142857
2020-09-30,55.44028571
2020-10-01,59.59142857
2020-10-02,73.51294118
2020-10-03,75.618
2020-10-04,75.17628571
2020-10-05,68.232
2020-10-06,75.04085714
2020-10-07,93.72057143
2020-10-08,83.75714286
2020-10-09,87.25314286
2020-10-10,93.10142857
2020-10-11,94.76628571
2020-10-12,130.4876471
2020-10-13,133.2714706
2020-10-14,131.6664706
2020-10-15,142.078
2020-10-16,112.8797143
2020-10-17,134.1982353
2020-10-18,106.1171429
2020-10-19,111.0511429
2020-10-20,108.0551429
